\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"
"ability_crystal_maiden_frostbite_total_damage"	"СУММАРНЫЙ УРОН ГЕРОЮ:"
"[english]ability_crystal_maiden_frostbite_total_damage"	"HERO TOTAL DAMAGE:"

"ability_crystal_maiden_frostbite_creep_total_damage"	"СУММАРНЫЙ УРОН КРИПУ:"
"[english]ability_crystal_maiden_frostbite_creep_total_damage"	"CREEP TOTAL DAMAGE:"

"ability_tiny_avalanche_total_duration"	"ОБЩАЯ ДЛИТЕЛЬНОСТЬ:"
"[english]ability_tiny_avalanche_total_duration"	"AVALANCHE DURATION:"

"ability_dazzle_bad_juju"	"Bad Juju"
"[english]ability_dazzle_bad_juju"	"Bad Juju"

"ability_dazzle_bad_juju_Description"	"Уменьшает перезарядку способностей и предметов. Каждое применение заклинания уменьшает броню врагов неподалёку. При этом эффект складывается, а время действия обновляется."
"[english]ability_dazzle_bad_juju_Description"	"Passively reduces cooldowns on your abilities and items. Anytime you cast a spell, all nearby enemies will have their armor reduced. Debuff stacks and refreshes duration."

"ability_dazzle_bad_juju_cooldown_reduction"	"%УМЕНЬШЕНИЕ ПЕРЕЗАРЯДКИ:"
"[english]ability_dazzle_bad_juju_cooldown_reduction"	"%COOLDOWN REDUCTION:"

"ability_dazzle_bad_juju_armor_reduction"	"СНИЖЕНИЕ БРОНИ:"
"[english]ability_dazzle_bad_juju_armor_reduction"	"ARMOR REDUCTION:"

"ability_dazzle_bad_juju_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_dazzle_bad_juju_duration"	"DURATION:"

"ability_dazzle_bad_juju_radius"	"РАДИУС:"
"[english]ability_dazzle_bad_juju_radius"	"RADIUS:"

"ability_rattletrap_power_cogs_damage"	"УРОН:"
"[english]ability_rattletrap_power_cogs_damage"	"DAMAGE:"

"ability_rattletrap_power_cogs_mana_burn"	"СЖИГАЕТ МАНЫ:"
"[english]ability_rattletrap_power_cogs_mana_burn"	"MANA BURN:"

"ability_lich_dark_sorcery"	"Unholy Pact"
"[english]ability_lich_dark_sorcery"	"Unholy Pact"

"ability_lich_dark_sorcery_Description"	"Даёт дополнительную скорость атаки на несколько следующих ударов, сжигая долю от маны врага за каждый удар. При применении герой теряет часть от текущего запаса здоровья. Действует до %duration% сек. или до применения всех атак."
"[english]ability_lich_dark_sorcery_Description"	"Grants you bonus attack speed for a limited number of attacks, draining a percentage of mana for each hit. Costs a percentage of current health to cast. Lasts up to %duration% seconds or when the attack count is consumed."

"ability_lich_dark_sorcery_mana_drain"	"%СЖИГАНИЕ МАНЫ:"
"[english]ability_lich_dark_sorcery_mana_drain"	"%MANA DRAIN:"

"ability_lich_dark_sorcery_attack_count"	"ЧИСЛО АТАК:"
"[english]ability_lich_dark_sorcery_attack_count"	"ATTACK COUNT:"

"ability_lich_dark_sorcery_attack_speed"	"СКОРОСТЬ АТАКИ:"
"[english]ability_lich_dark_sorcery_attack_speed"	"ATTACK SPEED:"

"ability_lich_dark_sorcery_health_cost"	"%РАСХОД ЗДОРОВЬЯ:"
"[english]ability_lich_dark_sorcery_health_cost"	"%HEALTH COST:"

"ability_lich_sinister_gaze"	"Sinister Gaze"
"[english]ability_lich_sinister_gaze"	"Sinister Gaze"

"ability_lich_sinister_gaze_Description"	"ПРЕРЫВАЕМАЯ — гипнотизирует вражеское существо, отчего оно идёт к определённой точке между вами двумя."
"[english]ability_lich_sinister_gaze_Description"	"CHANNELED - Hypnotizes an enemy unit, causing it to move towards a point between the two of you."

"ability_lich_sinister_gaze_Lore"	"Держи голову в холоде..."
"[english]ability_lich_sinister_gaze_Lore"	"Mind the cold..."

"ability_lich_sinister_gaze_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_lich_sinister_gaze_duration"	"DURATION:"

"ability_lich_sinister_gaze_destination"	"%ДАЛЬНОСТЬ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_lich_sinister_gaze_destination"	"%DISTANCE MOVED:"

"ability_lich_sinister_gaze_cast_range_tooltip"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_lich_sinister_gaze_cast_range_tooltip"	"CAST RANGE:"

"ability_lich_frost_aura"	"Frost Aura"
"[english]ability_lich_frost_aura"	"Frost Aura"

"ability_lich_frost_aura_Description"	"Аура для союзников, под которой все их атаки замедляют передвижение врага."
"[english]ability_lich_frost_aura_Description"	"Allied Aura. Causes all nearby ally attacks to slow enemy movement speed."

"ability_lich_frost_aura_movespeed_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_lich_frost_aura_movespeed_slow"	"%MOVEMENT SLOW:"

"ability_lich_frost_aura_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_lich_frost_aura_duration"	"DURATION:"

"ability_lich_frost_aura_aura_radius"	"РАДИУС:"
"[english]ability_lich_frost_aura_aura_radius"	"RADIUS:"

"ability_lich_frost_shield"	"Frost Shield"
"[english]ability_lich_frost_shield"	"Frost Shield"

"ability_lich_frost_shield_Description"	"Накладывает на цель магический ледяной щит, уменьшая урон от атак по ней. Пока щит действует, он раз в %interval% сек. наносит немного магического урона вражеским существам вокруг и замедляет их."
"[english]ability_lich_frost_shield_Description"	"Applies a magical frost shield around you, reducing damage from attacks against you. While the shield is active, ice magic will be affect nearby enemy units every %interval% seconds, doing minor damage and slowing."

"ability_lich_frost_shield_Lore"	"Магия, которая защищала Этриана ещё в смертной жизни, с годами стала лишь морознее."
"[english]ability_lich_frost_shield_Lore"	"First conceived of to protect him in his mortal years, the frost magic that Ethreain weaves around himself has only grown colder with time."

"ability_lich_frost_shield_attack_count"	"ЧИСЛО АТАК:"
"[english]ability_lich_frost_shield_attack_count"	"ATTACK COUNT:"

"ability_lich_frost_shield_damage_reduction"	"%УМЕНЬШЕНИЕ УРОНА:"
"[english]ability_lich_frost_shield_damage_reduction"	"%DAMAGE REDUCTION:"

"ability_lich_frost_shield_damage"	"УРОН:"
"[english]ability_lich_frost_shield_damage"	"DAMAGE:"

"ability_lich_frost_shield_movement_slow"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_lich_frost_shield_movement_slow"	"%SLOW:"

"ability_lich_frost_shield_range"	"ДАЛЬНОСТЬ:"
"[english]ability_lich_frost_shield_range"	"RANGE:"

"ability_lich_frost_shield_slow_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_lich_frost_shield_slow_duration"	"SLOW DURATION:"

"ability_lich_frost_shield_duration"	"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
"[english]ability_lich_frost_shield_duration"	"BUFF DURATION:"

"ability_tidehunter_anchor_smash_attack_damage"	"ДОП. УРОН:"
"[english]ability_tidehunter_anchor_smash_attack_damage"	"ATTACK BONUS DAMAGE:"

"ability_necrolyte_heartstopper_aura_health_regen"	"ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ ЗА УБИЙСТВО:"
"[english]ability_necrolyte_heartstopper_aura_health_regen"	"HEALTH REGEN PER KILL:"

"ability_necrolyte_heartstopper_aura_mana_regen"	"ВОССТАНОВЛЕНИЕ МАНЫ ЗА УБИЙСТВО:"
"[english]ability_necrolyte_heartstopper_aura_mana_regen"	"MANA REGEN PER KILL:"

"ability_necrolyte_heartstopper_aura_regen_duration"	"ДЛИТЕЛЬНОСТЬ ВОССТАНОВЛЕНИЯ:"
"[english]ability_necrolyte_heartstopper_aura_regen_duration"	"REGEN DURATION:"

"ability_necrolyte_heartstopper_aura_hero_multiplier"	"МНОЖИТЕЛЬ ВОССТАНОВЛЕНИЯ ПРИ УБИЙСТВЕ ГЕРОЯ:"
"[english]ability_necrolyte_heartstopper_aura_hero_multiplier"	"HERO KILL REGEN MULTIPLIER:"

"ability_beastmaster_call_of_the_wild_boar"	"Call of the Wild (кабан)"
"[english]ability_beastmaster_call_of_the_wild_boar"	"Call of the Wild Boar"

"ability_beastmaster_call_of_the_wild_boar_Description"	"Герой призывает на поле битвы кабана-помощника."
"[english]ability_beastmaster_call_of_the_wild_boar_Description"	"Beastmaster calls forth a Boar to aid in the battlefield."

"ability_beastmaster_call_of_the_wild_boar_Lore"	"Подружившись в детстве с удивительным зверем, Каррох научился взывать к помощи животных."
"[english]ability_beastmaster_call_of_the_wild_boar_Lore"	"After befriending the strange beast of his childhood, Beastmaster has learned to call to animals in times of need."

"ability_beastmaster_call_of_the_wild_boar_duration"	"ДЛИТЕЛЬНОСТЬ ЖИЗНИ:"
"[english]ability_beastmaster_call_of_the_wild_boar_duration"	"SUMMON DURATION:"

"ability_beastmaster_call_of_the_wild_boar_boar_hp_tooltip"	"ЗДОРОВЬЕ КАБАНА:"
"[english]ability_beastmaster_call_of_the_wild_boar_boar_hp_tooltip"	"BOAR HEALTH:"

"ability_beastmaster_call_of_the_wild_boar_boar_damage_tooltip"	"УРОН КАБАНА:"
"[english]ability_beastmaster_call_of_the_wild_boar_boar_damage_tooltip"	"BOAR ATTACK DAMAGE:"

"ability_beastmaster_call_of_the_wild_boar_boar_moveslow_tooltip"	"%ЗАМЕДЛЕНИЕ КАБАНА:"
"[english]ability_beastmaster_call_of_the_wild_boar_boar_moveslow_tooltip"	"%BOAR SLOW:"

"ability_beastmaster_call_of_the_wild_boar_boar_poison_duration_tooltip"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_beastmaster_call_of_the_wild_boar_boar_poison_duration_tooltip"	"BOAR POISON DURATION:"

"ability_beastmaster_call_of_the_wild_hawk"	"Call of the Wild (ястреб)"
"[english]ability_beastmaster_call_of_the_wild_hawk"	"Call of the Wild Hawk"

"ability_beastmaster_call_of_the_wild_hawk_Description"	"Герой отправляет невидимого ястреба разведать территорию."
"[english]ability_beastmaster_call_of_the_wild_hawk_Description"	"Beastmaster sends an invisible Hawk to scout an area."

"ability_beastmaster_call_of_the_wild_hawk_Lore"	"Подружившись в детстве с удивительным зверем, Каррох научился взывать к помощи животных."
"[english]ability_beastmaster_call_of_the_wild_hawk_Lore"	"After befriending the strange beast of his childhood, Beastmaster has learned to call to animals in times of need."

"ability_beastmaster_call_of_the_wild_hawk_hawk_hp_tooltip"	"ЗДОРОВЬЕ ЯСТРЕБА:"
"[english]ability_beastmaster_call_of_the_wild_hawk_hawk_hp_tooltip"	"HAWK HEALTH:"

"ability_beastmaster_call_of_the_wild_hawk_hawk_speed_tooltip"	"СКОРОСТЬ ЯСТРЕБА:"
"[english]ability_beastmaster_call_of_the_wild_hawk_hawk_speed_tooltip"	"HAWK SPEED:"

"ability_beastmaster_call_of_the_wild_hawk_hawk_vision_tooltip"	"РАДИУС ОБЗОРА ЯСТРЕБА:"
"[english]ability_beastmaster_call_of_the_wild_hawk_hawk_vision_tooltip"	"HAWK VISION:"

"ability_death_prophet_spirit_siphon_movement_steal"	"%ПОХИЩЕНИЕ СКОРОСТИ:"
"[english]ability_death_prophet_spirit_siphon_movement_steal"	"%SPEED STEAL:"

"ability_luna_lunar_blessing_primary_attribute"	"БОНУС К ОСНОВНОМУ АТРИБУТУ:"
"[english]ability_luna_lunar_blessing_primary_attribute"	"BONUS PRIMARY ATTRIBUTE:"

"ability_dark_seer_surge_speed_boost"	"%ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ:"
"[english]ability_dark_seer_surge_speed_boost"	"%SPEED BONUS:"

"ability_clinkz_burning_army"	"Burning Army"
"[english]ability_clinkz_burning_army"	"Burning Army"

"ability_clinkz_burning_army_Description"	"Герой призывает армию огненных скелетов-лучников. Лучники неподвижны и умирают от двух атак героев. Скелеты используют способность Searing Arrows текущего уровня и атакуют только героев. Их базовый урон равен %base_damage_percent%%% от базового урона вашего героя. Их дальность атаки равна дальности атаки вашего героя."
"[english]ability_clinkz_burning_army_Description"	"Clinkz summons an army of fiery ranged skeleton archers. Archers are immobile and die with 2 attacks from a hero. Skeletons use your current Searing Arrows ability and attack only heroes. Base damage is %base_damage_percent%%% of your hero's base damage. Attack range is equal to your hero's attack range. "

"ability_clinkz_burning_army_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_clinkz_burning_army_duration"	"DURATION:"

"ability_clinkz_burning_army_range"	"ДАЛЬНОСТЬ:"
"[english]ability_clinkz_burning_army_range"	"RANGE:"

"ability_clinkz_burning_army_count"	"ЧИСЛО СКЕЛЕТОВ:"
"[english]ability_clinkz_burning_army_count"	"COUNT:"

"ability_clinkz_burning_army_attack_rate"	"ИНТЕРВАЛ АТАК:"
"[english]ability_clinkz_burning_army_attack_rate"	"ATTACK RATE:"

"ability_clinkz_burning_army_spawn_interval"	"ИНТЕРВАЛ ПОЯВЛЕНИЯ:"
"[english]ability_clinkz_burning_army_spawn_interval"	"SPAWN INTERVAL:"

"ability_omniknight_repel_status_resistance"	"СОПРОТИВЛЕНИЕ ЭФФЕКТАМ:"
