\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"
"modifier_lich_chainfrost_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_lich_chainfrost_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

"modifier_item_hurricane_pike_active"	"Толчок Hurricane Pike"
"[english]modifier_item_hurricane_pike_active"	"Hurricane Pike Push"

"modifier_item_hurricane_pike_active_Description"	"Под воздействием толчка Hurricane Pike."
"[english]modifier_item_hurricane_pike_active_Description"	"Being pushed by Hurricane Pike."

"modifier_item_hurricane_pike_active_alternate"	"Толчок Hurricane Pike"
"[english]modifier_item_hurricane_pike_active_alternate"	"Hurricane Pike Push"

"modifier_item_hurricane_pike_active_alternate_Description"	"Под воздействием толчка Hurricane Pike."
"[english]modifier_item_hurricane_pike_active_alternate_Description"	"Being pushed by Hurricane Pike."

"modifier_item_hurricane_pike_range"	"Доп. радиус от Hurricane Pike"
"[english]modifier_item_hurricane_pike_range"	"Hurricane Pike Range"

"modifier_item_hurricane_pike_range_Description"	"Может атаковать цель без ограничений дальности."
"[english]modifier_item_hurricane_pike_range_Description"	"Can attack the target without range restrictions."

"modifier_bloodthorn_debuff"	"Bloodthorn"
"[english]modifier_bloodthorn_debuff"	"Bloodthorn"

"modifier_bloodthorn_debuff_Description"	"Это существо не может применять способности, а в конце действия ему нанесется магический урон в размере 30%% от полученного урона.\nВсе атаки по этому существу наносят на 35%% больше урона."
"[english]modifier_bloodthorn_debuff_Description"	"Silenced and taking 30%% increased damage, dealt at the end of the duration of the debuff as magic damage.\nCauses all incoming attacks to crit for 135%% damage."

"modifier_echo_sabre_debuff"	"Замедление от Echo Sabre"
"[english]modifier_echo_sabre_debuff"	"Echo Sabre Slow"

"modifier_echo_sabre_debuff_Description"	"Скорость передвижения уменьшена на 100%%."
"[english]modifier_echo_sabre_debuff_Description"	"Movement speed reduced by 100%%."

"modifier_blight_stone_buff"	"Blight Stone"
"[english]modifier_blight_stone_buff"	"Blight Stone"

"modifier_blight_stone_buff_Description"	"Броня уменьшена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_blight_stone_buff_Description"	"Armor is reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_tower_aura_bonus"	"Защитная аура башни"
"[english]modifier_tower_aura_bonus"	"Tower Protection"

"modifier_tower_aura_bonus_Description"	"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_tower_aura_bonus_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_orchid_malevolence_debuff_Description"	"Не может применять способности. По окончании эффекта получит магический урон в размере %silence_damage_percent%%% от урона, полученного во время действия."
"[english]modifier_orchid_malevolence_debuff_Description"	"Silenced. 30%% of damage received while silenced will be inflicted as bonus magical damage at the end of the silence."

"modifier_death_prophet_spirit_siphon_slow"	"Замедление от Spirit Siphon"
"[english]modifier_death_prophet_spirit_siphon_slow"	"Spirit Siphon Slow"

"modifier_death_prophet_spirit_siphon_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_death_prophet_spirit_siphon_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_bloodseeker_rupture_charge_counter"	"Зарядов Rupture"
"[english]modifier_bloodseeker_rupture_charge_counter"	"Rupture Charges"

"modifier_bloodseeker_rupture_charge_counter_Description"	"Способность Rupture можно применить, если есть заряды."
"[english]modifier_bloodseeker_rupture_charge_counter_Description"	"You may cast Rupture whenever there is a charge available."

"modifier_abyssal_underlord_atrophy_aura_dmg_buff_counter"	"Atrophy Aura"
"[english]modifier_abyssal_underlord_atrophy_aura_dmg_buff_counter"	"Atrophy Aura"

"modifier_abyssal_underlord_atrophy_aura_dmg_buff_counter_Description"	"Имеет %dMODIFIER_PROPERTY_TOOLTIP% дополнительного урона."
"[english]modifier_abyssal_underlord_atrophy_aura_dmg_buff_counter_Description"	"Receiving %dMODIFIER_PROPERTY_TOOLTIP% bonus damage."

"modifier_abyssal_underlord_dark_rift"	"Dark Rift"
"[english]modifier_abyssal_underlord_dark_rift"	"Dark Rift"

"modifier_abyssal_underlord_dark_rift_Description"	"Underlord телепортируется к этому существу."
"[english]modifier_abyssal_underlord_dark_rift_Description"	"Underlord is teleporting to this unit."

"modifier_tower_aura"	"Защитная аура башни"
"[english]modifier_tower_aura"	"Tower Protection"

"modifier_tower_aura_Description"	"Броня союзных героев вокруг усилена."
"[english]modifier_tower_aura_Description"	"Armor of nearby friendly heroes increased."

"modifier_pudge_flesh_heap_Description_Dashboard"	"Даёт герою дополнительную силу за каждого убитого им или погибшего поблизости вражеского героя."
"[english]modifier_pudge_flesh_heap_Description_Dashboard"	"Gives Pudge bonus strength that increases each time Pudge kills an enemy Hero or it dies in his vicinity."

"modifier_item_moon_shard_consumed_Description_Dashboard"	"От поглощённого Moon Shard скорость атаки увеличена на 60, а радиус обзора ночью — на 200."
"[english]modifier_item_moon_shard_consumed_Description_Dashboard"	"Attack speed increased by 60 and night vision increased by 200 after consuming a Moon Shard."

"modifier_windrunner_shackle_shot"	"Shackleshot"
"[english]modifier_windrunner_shackle_shot"	"Shackleshot"

"modifier_windrunner_shackle_shot_Description"	"Находится в крепких путах ловчей стрелы Windranger."
"[english]modifier_windrunner_shackle_shot_Description"	"Bound by thick ropes from Windranger's ensnaring arrow."

"modifier_filler_heal"	"Восстановление от Sanctuary"
"[english]modifier_filler_heal"	"Sanctuary Rejuvenation"

"modifier_filler_heal_Description"	"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% здоровья и %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT_UNIQUE% маны в секунду."
"[english]modifier_filler_heal_Description"	"Heals %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% hp and restores %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT_UNIQUE% mana per second."

"modifier_monkey_king_boundless_strike_stun"	"Boundless Strike"
"[english]modifier_monkey_king_boundless_strike_stun"	"Boundless Strike"

"modifier_monkey_king_boundless_strike_stun_Description"	"Оглушение от способности Boundless Strike"
"[english]modifier_monkey_king_boundless_strike_stun_Description"	"Stunned by Monkey King's Boundless Strike"

"modifier_monkey_king_boundless_strike_crit"	"Критический урон от Boundless Strike"
"[english]modifier_monkey_king_boundless_strike_crit"	"Boundless Strike Critical"

"modifier_monkey_king_spring_slow"	"Primal Spring"
"[english]modifier_monkey_king_spring_slow"	"Primal Spring"

"modifier_monkey_king_spring_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_monkey_king_spring_slow_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_monkey_king_quadruple_tap_counter"	"Jingu Mastery"
"[english]modifier_monkey_king_quadruple_tap_counter"	"Jingu Mastery"

"modifier_monkey_king_quadruple_tap_counter_Description"	"Ударов от Monkey King"
"[english]modifier_monkey_king_quadruple_tap_counter_Description"	"Hits from Monkey King"

"modifier_monkey_king_quadruple_tap_bonuses"	"Jingu Mastery"
"[english]modifier_monkey_king_quadruple_tap_bonuses"	"Jingu Mastery"

"modifier_monkey_king_quadruple_tap_bonuses_Description"	"Дополнительные урон и вампиризм"
"[english]modifier_monkey_king_quadruple_tap_bonuses_Description"	"Bonus Damage and Lifesteal"

"modifier_monkey_king_transform"	"Mischief"
"[english]modifier_monkey_king_transform"	"Mischief"

"modifier_monkey_king_transform_Description"	"Это существо замаскировано."
"[english]modifier_monkey_king_transform_Description"	"This unit is disguised."

"modifier_phantom_assassin_stiflingdagger_caster"	"Stifling Dagger"
"[english]modifier_phantom_assassin_stiflingdagger_caster"	"Stifling Dagger"

"modifier_mirana_starfall_scepter_thinker"	"Готовность Starstorm"
"[english]modifier_mirana_starfall_scepter_thinker"	"Starstorm Charge"

"modifier_mirana_starfall_scepter_thinker_Description"	"Способность Starstorm автоматически сработает, когда будет готова."
"[english]modifier_mirana_starfall_scepter_thinker_Description"	"Starstorm can automatically cast when charged."

"modifier_chaos_knight_reality_rift_debuff"	"Reality Rift"
"[english]modifier_chaos_knight_reality_rift_debuff"	"Reality Rift"

"modifier_chaos_knight_reality_rift_debuff_Description"	"Броня уменьшена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_chaos_knight_reality_rift_debuff_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_chaos_knight_chaos_strike_debuff"	"Chaos Strike"
"[english]modifier_chaos_knight_chaos_strike_debuff"	"Chaos Strike"

"modifier_chaos_knight_chaos_strike_debuff_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_chaos_knight_chaos_strike_debuff_Description"	"Movement Speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_undying_decay_buff_counter"	"Decay"
"[english]modifier_undying_decay_buff_counter"	"Decay"

"modifier_undying_decay_buff_counter_Description"	"Украдено %dMODIFIER_PROPERTY_TOOLTIP% силы."
"[english]modifier_undying_decay_buff_counter_Description"	"Stealing %dMODIFIER_PROPERTY_TOOLTIP% strength."

"modifier_undying_decay_debuff_counter"	"Decay"
"[english]modifier_undying_decay_debuff_counter"	"Decay"

"modifier_undying_decay_debuff_counter_Description"	"Потеряно %dMODIFIER_PROPERTY_TOOLTIP% силы."
"[english]modifier_undying_decay_debuff_counter_Description"	"Losing %dMODIFIER_PROPERTY_TOOLTIP% strength."

"modifier_elder_titan_natural_order_spirit"	"Natural Order"
"[english]modifier_elder_titan_natural_order_spirit"	"Natural Order"

"modifier_elder_titan_natural_order_spirit_Description"	"Снижает базовые сопротивление магии и броню на %dMODIFIER_PROPERTY_TOOLTIP%%%."
"[english]modifier_elder_titan_natural_order_spirit_Description"	"Reducing base magic damage resistance and armor by %dMODIFIER_PROPERTY_TOOLTIP%%%."

"modifier_elder_titan_natural_order_armor"	"Снижение брони от Natural Order"
"[english]modifier_elder_titan_natural_order_armor"	"Natural Order Armor Reduction"

"modifier_elder_titan_natural_order_armor_Description"	"Снижает основную броню на %dMODIFIER_PROPERTY_TOOLTIP%%%."
"[english]modifier_elder_titan_natural_order_armor_Description"	"Reducing base armor by %dMODIFIER_PROPERTY_TOOLTIP%%%."

"modifier_elder_titan_natural_order_magic_resistance"	"Снижение сопротивления магии от Natural Order"
